user_id,job_role,company_remote,salary_usd,location,nomad_visa,productivity,burnout_level,timestamp
DN-2023-0001,Data Analyst,N,78753,"Mexico City, Mexico",N,10,2,2023-01-01
DN-2023-0002,Digital Marketer,Y,75682,"Bali, Indonesia",Y,6,5,2023-01-02
DN-2023-0003,Graphic Designer,Y,86201,"Ho Chi Minh City, Vietnam",Y,4,6,2023-01-03
DN-2023-0004,Product Manager,N,97618,"Mexico City, Mexico",N,7,3,2023-01-04
DN-2023-0005,Data Analyst,Y,104223,"Barcelona, Spain",Y,8,1,2023-01-05
DN-2023-0006,SEO Specialist,Y,54065,"Bangkok, Thailand",N,9,4,2023-01-06
DN-2023-0007,UX Designer,Y,90866,"Barcelona, Spain",Y,7,6,2023-01-07
DN-2023-0008,Data Analyst,N,65306,"Dubai, UAE",N,8,2,2023-01-08
DN-2023-0009,Graphic Designer,Y,49591,"Dubai, UAE",N,6,1,2023-01-09
DN-2023-0010,Product Manager,Y,85253,"Tallinn, Estonia",Y,7,2,2023-01-10
DN-2023-0011,Digital Marketer,Y,69803,"Bangkok, Thailand",Y,8,5,2023-01-11
DN-2023-0012,Graphic Designer,Y,55921,"Bangkok, Thailand",Y,10,4,2023-01-12
DN-2023-0013,Graphic Designer,Y,82642,"Mexico City, Mexico",Y,8,4,2023-01-13
DN-2023-0014,UX Designer,N,88999,"Medellin, Colombia",Y,7,5,2023-01-14
DN-2023-0015,DevOps Engineer,Y,100387,"Bangkok, Thailand",Y,6,2,2023-01-15
DN-2023-0016,Product Manager,N,93531,"Tallinn, Estonia",Y,8,1,2023-01-16
DN-2023-0017,Software Developer,Y,96167,"Ho Chi Minh City, Vietnam",Y,5,2,2023-01-17
DN-2023-0018,Graphic Designer,Y,68984,"Ho Chi Minh City, Vietnam",Y,4,1,2023-01-18
DN-2023-0019,DevOps Engineer,Y,79727,"Barcelona, Spain",N,8,6,2023-01-19
DN-2023-0020,Software Developer,Y,47831,"Mexico City, Mexico",Y,4,5,2023-01-20
DN-2023-0021,Product Manager,Y,91072,"Berlin, Germany",N,4,3,2023-01-21
DN-2023-0022,Data Scientist,Y,98835,"Lisbon, Portugal",N,6,1,2023-01-22
DN-2023-0023,SEO Specialist,Y,54381,"Barcelona, Spain",N,8,4,2023-01-23
DN-2023-0024,DevOps Engineer,Y,80019,"Bangkok, Thailand",N,3,6,2023-01-24
DN-2023-0025,Content Creator,Y,71869,"Barcelona, Spain",Y,4,4,2023-01-25
DN-2023-0026,Data Scientist,N,58298,"Berlin, Germany",N,8,6,2023-01-26
DN-2023-0027,SEO Specialist,N,73725,"Lisbon, Portugal",Y,7,4,2023-01-27
DN-2023-0028,UX Designer,Y,78784,"Berlin, Germany",N,10,2,2023-01-28
DN-2023-0029,Data Analyst,Y,91890,"Berlin, Germany",N,10,2,2023-01-29
DN-2023-0030,Digital Marketer,Y,122478,"Dubai, UAE",Y,8,2,2023-01-30
DN-2023-0031,Content Creator,Y,94385,"Ho Chi Minh City, Vietnam",Y,7,6,2023-01-31
DN-2023-0032,UX Designer,Y,82047,"Medellin, Colombia",Y,8,6,2023-02-01
DN-2023-0033,Product Manager,N,84379,"Bangkok, Thailand",N,7,4,2023-02-02
DN-2023-0034,UX Designer,Y,97478,"Tallinn, Estonia",Y,8,1,2023-02-03
DN-2023-0035,Data Analyst,Y,68437,"Mexico City, Mexico",Y,9,6,2023-02-04
DN-2023-0036,Product Manager,N,85481,"Barcelona, Spain",Y,10,4,2023-02-05
DN-2023-0037,Content Creator,Y,58525,"Bangkok, Thailand",Y,5,1,2023-02-06
DN-2023-0038,Data Analyst,N,71387,"Dubai, UAE",N,9,2,2023-02-07
DN-2023-0039,Software Developer,Y,79427,"Ho Chi Minh City, Vietnam",N,5,6,2023-02-08
DN-2023-0040,Digital Marketer,Y,67272,"Barcelona, Spain",Y,7,3,2023-02-09
DN-2023-0041,Content Creator,Y,64708,"Mexico City, Mexico",Y,9,2,2023-02-10
DN-2023-0042,Software Developer,Y,110780,"Medellin, Colombia",Y,4,5,2023-02-11
DN-2023-0043,SEO Specialist,N,90687,"Bangkok, Thailand",Y,8,1,2023-02-12
DN-2023-0044,Content Creator,Y,79441,"Tallinn, Estonia",N,5,3,2023-02-13
DN-2023-0045,SEO Specialist,N,114445,"Ho Chi Minh City, Vietnam",Y,10,2,2023-02-14
DN-2023-0046,Product Manager,Y,109107,"Bali, Indonesia",Y,4,6,2023-02-15
DN-2023-0047,Software Developer,Y,65625,"Bangkok, Thailand",N,6,3,2023-02-16
DN-2023-0048,Digital Marketer,Y,90729,"Berlin, Germany",N,9,4,2023-02-17
DN-2023-0049,Data Analyst,Y,74250,"Berlin, Germany",Y,5,1,2023-02-18
DN-2023-0050,Graphic Designer,N,70365,"Tallinn, Estonia",Y,9,5,2023-02-19
DN-2023-0051,UX Designer,Y,85738,"Lisbon, Portugal",Y,8,4,2023-02-20
DN-2023-0052,Data Scientist,Y,86284,"Tallinn, Estonia",N,8,3,2023-02-21
DN-2023-0053,Digital Marketer,Y,59035,"Ho Chi Minh City, Vietnam",N,10,2,2023-02-22
DN-2023-0054,Software Developer,Y,48963,"Berlin, Germany",Y,5,1,2023-02-23
DN-2023-0055,Graphic Designer,Y,78553,"Medellin, Colombia",Y,7,6,2023-02-24
DN-2023-0056,Digital Marketer,Y,82266,"Medellin, Colombia",N,9,5,2023-02-25
DN-2023-0057,Software Developer,N,45588,"Berlin, Germany",N,10,2,2023-02-26
DN-2023-0058,DevOps Engineer,Y,70269,"Ho Chi Minh City, Vietnam",N,8,5,2023-02-27
DN-2023-0059,DevOps Engineer,Y,99295,"Dubai, UAE",Y,9,6,2023-02-28
DN-2023-0060,SEO Specialist,Y,87963,"Mexico City, Mexico",Y,4,1,2023-03-01
DN-2023-0061,Digital Marketer,Y,49135,"Mexico City, Mexico",Y,9,3,2023-03-02
DN-2023-0062,DevOps Engineer,N,103244,"Ho Chi Minh City, Vietnam",Y,10,5,2023-03-03
DN-2023-0063,Software Developer,Y,89885,"Bali, Indonesia",Y,7,1,2023-03-04
DN-2023-0064,SEO Specialist,Y,72240,"Mexico City, Mexico",Y,8,5,2023-03-05
DN-2023-0065,Software Developer,Y,84265,"Barcelona, Spain",Y,8,2,2023-03-06
DN-2023-0066,SEO Specialist,Y,63224,"Mexico City, Mexico",N,9,5,2023-03-07
DN-2023-0067,Digital Marketer,Y,97202,"Barcelona, Spain",Y,6,2,2023-03-08
DN-2023-0068,Graphic Designer,N,51211,"Berlin, Germany",N,7,2,2023-03-09
DN-2023-0069,Data Analyst,N,62874,"Dubai, UAE",Y,10,1,2023-03-10
DN-2023-0070,Content Creator,N,64463,"Tallinn, Estonia",N,7,4,2023-03-11
DN-2023-0071,Graphic Designer,Y,40653,"Dubai, UAE",Y,9,6,2023-03-12
DN-2023-0072,Product Manager,Y,40930,"Mexico City, Mexico",N,7,5,2023-03-13
DN-2023-0073,Software Developer,Y,100658,"Mexico City, Mexico",Y,5,3,2023-03-14
DN-2023-0074,Product Manager,Y,71655,"Ho Chi Minh City, Vietnam",Y,4,2,2023-03-15
DN-2023-0075,Graphic Designer,N,42662,"Tallinn, Estonia",N,4,4,2023-03-16
DN-2023-0076,SEO Specialist,Y,63127,"Mexico City, Mexico",Y,6,2,2023-03-17
DN-2023-0077,Content Creator,N,55323,"Lisbon, Portugal",Y,7,4,2023-03-18
DN-2023-0078,Content Creator,N,61726,"Lisbon, Portugal",N,7,4,2023-03-19
DN-2023-0079,Data Scientist,Y,62781,"Bali, Indonesia",N,8,3,2023-03-20
DN-2023-0080,Content Creator,Y,71251,"Berlin, Germany",Y,10,4,2023-03-21
DN-2023-0081,Data Analyst,Y,91995,"Barcelona, Spain",Y,9,3,2023-03-22
DN-2023-0082,Content Creator,Y,43164,"Dubai, UAE",Y,5,1,2023-03-23
DN-2023-0083,Graphic Designer,N,59521,"Berlin, Germany",Y,5,2,2023-03-24
DN-2023-0084,Data Scientist,Y,75102,"Barcelona, Spain",N,6,3,2023-03-25
DN-2023-0085,Graphic Designer,Y,60746,"Barcelona, Spain",Y,3,6,2023-03-26
DN-2023-0086,Graphic Designer,Y,80510,"Bangkok, Thailand",Y,7,2,2023-03-27
DN-2023-0087,UX Designer,N,102806,"Mexico City, Mexico",N,8,6,2023-03-28
DN-2023-0088,Data Scientist,Y,154413,"Bali, Indonesia",Y,6,5,2023-03-29
DN-2023-0089,Graphic Designer,N,27690,"Mexico City, Mexico",N,9,6,2023-03-30
DN-2023-0090,UX Designer,Y,60899,"Bali, Indonesia",Y,5,1,2023-03-31
DN-2023-0091,UX Designer,N,127908,"Berlin, Germany",Y,5,5,2023-04-01
DN-2023-0092,Data Scientist,N,58062,"Ho Chi Minh City, Vietnam",Y,5,5,2023-04-02
DN-2023-0093,Product Manager,Y,137600,"Ho Chi Minh City, Vietnam",Y,7,4,2023-04-03
DN-2023-0094,SEO Specialist,Y,82118,"Berlin, Germany",Y,6,6,2023-04-04
DN-2023-0095,Data Analyst,N,92051,"Tallinn, Estonia",Y,7,4,2023-04-05
DN-2023-0096,SEO Specialist,Y,53860,"Lisbon, Portugal",Y,7,6,2023-04-06
DN-2023-0097,Content Creator,N,62460,"Barcelona, Spain",Y,4,5,2023-04-07
DN-2023-0098,Data Analyst,Y,113798,"Bali, Indonesia",Y,10,4,2023-04-08
DN-2023-0099,Content Creator,N,69561,"Medellin, Colombia",Y,5,2,2023-04-09
DN-2023-0100,Graphic Designer,N,62577,"Mexico City, Mexico",Y,4,6,2023-04-10
DN-2023-0101,Software Developer,N,88114,"Berlin, Germany",N,7,6,2023-04-11
DN-2023-0102,Data Scientist,Y,90473,"Barcelona, Spain",Y,5,4,2023-04-12
DN-2023-0103,Data Analyst,Y,86034,"Bali, Indonesia",Y,9,6,2023-04-13
DN-2023-0104,Data Analyst,Y,56705,"Dubai, UAE",N,5,5,2023-04-14
DN-2023-0105,Graphic Designer,Y,62138,"Tallinn, Estonia",Y,7,4,2023-04-15
DN-2023-0106,Product Manager,Y,72553,"Mexico City, Mexico",N,7,4,2023-04-16
DN-2023-0107,UX Designer,Y,39529,"Ho Chi Minh City, Vietnam",N,4,3,2023-04-17
DN-2023-0108,Graphic Designer,N,78882,"Berlin, Germany",Y,10,3,2023-04-18
DN-2023-0109,DevOps Engineer,Y,65726,"Ho Chi Minh City, Vietnam",Y,10,5,2023-04-19
DN-2023-0110,UX Designer,Y,69035,"Bali, Indonesia",N,5,2,2023-04-20
DN-2023-0111,Data Scientist,Y,117043,"Ho Chi Minh City, Vietnam",Y,5,6,2023-04-21
DN-2023-0112,UX Designer,Y,45039,"Mexico City, Mexico",N,5,1,2023-04-22
DN-2023-0113,Product Manager,Y,109407,"Lisbon, Portugal",Y,4,6,2023-04-23
DN-2023-0114,UX Designer,N,81404,"Barcelona, Spain",Y,4,1,2023-04-24
DN-2023-0115,Data Scientist,N,80084,"Lisbon, Portugal",Y,6,5,2023-04-25
DN-2023-0116,Product Manager,Y,143105,"Berlin, Germany",Y,5,2,2023-04-26
DN-2023-0117,SEO Specialist,Y,79189,"Lisbon, Portugal",Y,9,2,2023-04-27
DN-2023-0118,Data Analyst,N,68638,"Bangkok, Thailand",N,9,2,2023-04-28
DN-2023-0119,Data Analyst,Y,57956,"Barcelona, Spain",N,10,3,2023-04-29
DN-2023-0120,Content Creator,Y,70289,"Bali, Indonesia",N,10,5,2023-04-30
DN-2023-0121,SEO Specialist,Y,67081,"Barcelona, Spain",Y,6,1,2023-05-01
DN-2023-0122,SEO Specialist,Y,85617,"Bangkok, Thailand",N,9,2,2023-05-02
DN-2023-0123,UX Designer,Y,71955,"Medellin, Colombia",N,7,5,2023-05-03
DN-2023-0124,Data Analyst,Y,92091,"Lisbon, Portugal",N,6,6,2023-05-04
DN-2023-0125,Data Scientist,Y,70269,"Barcelona, Spain",Y,6,1,2023-05-05
DN-2023-0126,Digital Marketer,N,61939,"Ho Chi Minh City, Vietnam",N,5,3,2023-05-06
DN-2023-0127,Digital Marketer,Y,73636,"Bali, Indonesia",Y,10,4,2023-05-07
DN-2023-0128,Product Manager,N,100371,"Dubai, UAE",Y,6,1,2023-05-08
DN-2023-0129,Data Analyst,N,72909,"Berlin, Germany",N,8,6,2023-05-09
DN-2023-0130,Data Analyst,Y,131303,"Berlin, Germany",Y,6,1,2023-05-10
DN-2023-0131,Digital Marketer,Y,120052,"Berlin, Germany",Y,9,1,2023-05-11
DN-2023-0132,Data Analyst,Y,77383,"Barcelona, Spain",N,10,4,2023-05-12
DN-2023-0133,UX Designer,Y,87456,"Lisbon, Portugal",Y,7,2,2023-05-13
DN-2023-0134,DevOps Engineer,N,90326,"Barcelona, Spain",N,5,6,2023-05-14
